"path","type","class","length","dim","is_list_like","preview"
"<root>$results$data$scen_17[[1]]$RepOut","double","numeric",100,NA,FALSE,"c(6775788, 8676321, 9216655) … (97 more)"
"<root>$results$data$scen_17[[1]]$lnRS","double","numeric",100,NA,FALSE,"c(1.80736482512344, 1.19405165353021, 1.37767130081764) … (97 more)"
"<root>$results$data$scen_17[[1]]$meanSesc","double","numeric",100,NA,FALSE,"c(840.574457783534, 858.685453210549, 828.962684715973) … (97 more)"
"<root>$results$data$scen_17[[1]]$meanSret","double","numeric",100,NA,FALSE,"c(841.827042163498, 856.995679661823, 831.536583301965) … (97 more)"
"<root>$results$data$scen_17[[1]]$meanSharv","double","numeric",100,NA,FALSE,"c(842.684980862184, 855.677456468416, 835.122226749802) … (97 more)"
"<root>$results$data$scen_17[[2]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_17[[2]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_17[[2]]$Ret","double","numeric",100,NA,FALSE,"c(32918, 29446, 40467) … (97 more)"
"<root>$results$data$scen_17[[2]]$Rec","double","numeric",100,NA,FALSE,"c(41151, 63062, 37841) … (97 more)"
"<root>$results$data$scen_17[[2]]$eps","double","numeric",100,NA,FALSE,"c(-0.18366, 0.25162, -0.23969) … (97 more)"
"<root>$results$data$scen_17[[2]]$reg","double","numeric",100,NA,FALSE,"c(1, 2, 2) … (97 more)"
"<root>$results$data$scen_17[[2]]$Esc","double","numeric",100,NA,FALSE,"c(14533, 16076, 13320) … (97 more)"
"<root>$results$data$scen_17[[2]]$Harv","double","numeric",100,NA,FALSE,"c(18385, 13370, 27147) … (97 more)"
"<root>$results$data$scen_17[[2]]$RepOut","double","numeric",100,NA,FALSE,"c(11485605, 12408032, 8341106) … (97 more)"
"<root>$results$data$scen_17[[2]]$lnRS","double","numeric",100,NA,FALSE,"c(1.04082630252035, 1.36679089285322, 1.04412650578356) … (97 more)"
"<root>$results$data$scen_17[[2]]$meanSesc","double","numeric",100,NA,FALSE,"c(861.026348664594, 829.621223879567, 829.564460695641) … (97 more)"
"<root>$results$data$scen_17[[2]]$meanSret","double","numeric",100,NA,FALSE,"c(858.692932284941, 831.774923037759, 829.696599997719) … (97 more)"
"<root>$results$data$scen_17[[2]]$meanSharv","double","numeric",100,NA,FALSE,"c(856.847273562014, 834.364516730137, 829.761413960363) … (97 more)"
"<root>$results$data$scen_17[[3]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_17[[3]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_17[[3]]$Ret","double","numeric",100,NA,FALSE,"c(18430, 26723, 24173) … (97 more)"
"<root>$results$data$scen_17[[3]]$Rec","double","numeric",100,NA,FALSE,"c(32731, 20643, 28642) … (97 more)"
"<root>$results$data$scen_17[[3]]$eps","double","numeric",100,NA,FALSE,"c(0.09028, -0.30423, -0.04836) … (97 more)"
"<root>$results$data$scen_17[[3]]$reg","double","numeric",100,NA,FALSE,"c(2, 2, 1) … (97 more)"
"<root>$results$data$scen_17[[3]]$Esc","double","numeric",100,NA,FALSE,"c(11400, 9446, 10349) … (97 more)"
"<root>$results$data$scen_17[[3]]$Harv","double","numeric",100,NA,FALSE,"c(7030, 17277, 13824) … (97 more)"
"<root>$results$data$scen_17[[3]]$RepOut","double","numeric",100,NA,FALSE,"c(9428995, 5666808, 8739245) … (97 more)"
"<root>$results$data$scen_17[[3]]$lnRS","double","numeric",100,NA,FALSE,"c(1.05470928565538, 0.781784907414527, 1.01798427537047) … (97 more)"
"<root>$results$data$scen_17[[3]]$meanSesc","double","numeric",100,NA,FALSE,"c(837.727657317684, 831.452429444615, 847.391904412077) … (97 more)"
"<root>$results$data$scen_17[[3]]$meanSret","double","numeric",100,NA,FALSE,"c(840.259760243256, 831.657384785402, 848.854939265287) … (97 more)"
"<root>$results$data$scen_17[[3]]$meanSharv","double","numeric",100,NA,FALSE,"c(844.365873095534, 831.769386711504, 849.950945042081) … (97 more)"
"<root>$results$data$scen_17[[4]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_17[[4]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_17[[4]]$Ret","double","numeric",100,NA,FALSE,"c(52163, 46605, 45589) … (97 more)"
"<root>$results$data$scen_17[[4]]$Rec","double","numeric",100,NA,FALSE,"c(34378, 52079, 68205) … (97 more)"
"<root>$results$data$scen_17[[4]]$eps","double","numeric",100,NA,FALSE,"c(-0.52146, -0.13525, 0.28942) … (97 more)"
"<root>$results$data$scen_17[[4]]$reg","double","numeric",100,NA,FALSE,"c(1, 2, 2) … (97 more)"
"<root>$results$data$scen_17[[4]]$Esc","double","numeric",100,NA,FALSE,"c(16295, 17853, 25296) … (97 more)"
"<root>$results$data$scen_17[[4]]$Harv","double","numeric",100,NA,FALSE,"c(35868, 28752, 20293) … (97 more)"
"<root>$results$data$scen_17[[4]]$RepOut","double","numeric",100,NA,FALSE,"c(10339039, 13186885, 22133269) … (97 more)"
"<root>$results$data$scen_17[[4]]$lnRS","double","numeric",100,NA,FALSE,"c(0.74655851261644, 1.07059023515626, 0.991871595477967) … (97 more)"
"<root>$results$data$scen_17[[4]]$meanSesc","double","numeric",100,NA,FALSE,"c(842.439230655257, 837.336136929386, 858.260461778779) … (97 more)"
